,fileName,baby,bird,car,clouds,dog,female,flower,male,night,people,portrait,river,sea,tree,classes
125,train/images/im126.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
128,train/images/im129.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
129,train/images/im130.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
133,train/images/im134.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
134,train/images/im135.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
135,train/images/im136.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
136,train/images/im137.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
139,train/images/im140.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['baby', 'people']"
140,train/images/im141.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
141,train/images/im142.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
143,train/images/im144.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
146,train/images/im147.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
151,train/images/im152.jpg,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"['female', 'night', 'people']"
152,train/images/im153.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
153,train/images/im154.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
154,train/images/im155.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
157,train/images/im158.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
158,train/images/im159.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
163,train/images/im164.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
164,train/images/im165.jpg,0,0,0,1,0,0,0,1,0,1,0,0,1,0,"['clouds', 'male', 'people', 'sea']"
165,train/images/im166.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
167,train/images/im168.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
169,train/images/im170.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
171,train/images/im172.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
172,train/images/im173.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
174,train/images/im175.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
175,train/images/im176.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
176,train/images/im177.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
177,train/images/im178.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
178,train/images/im179.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
180,train/images/im181.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
182,train/images/im183.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
183,train/images/im184.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
184,train/images/im185.jpg,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"['baby', 'people', 'portrait']"
186,train/images/im187.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
188,train/images/im189.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
189,train/images/im190.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
190,train/images/im191.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
196,train/images/im197.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
197,train/images/im198.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
199,train/images/im200.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
201,train/images/im202.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
203,train/images/im204.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
205,train/images/im206.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
207,train/images/im208.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
208,train/images/im209.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
209,train/images/im210.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
210,train/images/im211.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
211,train/images/im212.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
212,train/images/im213.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"['male', 'people', 'tree']"
214,train/images/im215.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
215,train/images/im216.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
218,train/images/im219.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
220,train/images/im221.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
221,train/images/im222.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
222,train/images/im223.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
227,train/images/im228.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
228,train/images/im229.jpg,1,0,0,0,0,0,0,1,0,1,1,0,0,0,"['baby', 'male', 'people', 'portrait']"
229,train/images/im230.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
230,train/images/im231.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['baby', 'people']"
232,train/images/im233.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['clouds', 'tree']"
236,train/images/im237.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"['bird', 'male']"
237,train/images/im238.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
238,train/images/im239.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
240,train/images/im241.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
242,train/images/im243.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
243,train/images/im244.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
246,train/images/im247.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
248,train/images/im249.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
250,train/images/im251.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['female']
251,train/images/im252.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
252,train/images/im253.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['clouds', 'river']"
253,train/images/im254.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"['bird', 'tree']"
256,train/images/im257.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
257,train/images/im258.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
259,train/images/im260.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
260,train/images/im261.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
262,train/images/im263.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
263,train/images/im264.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
264,train/images/im265.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
269,train/images/im270.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
270,train/images/im271.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
272,train/images/im273.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
275,train/images/im276.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
276,train/images/im277.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
277,train/images/im278.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
278,train/images/im279.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
282,train/images/im283.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
283,train/images/im284.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
287,train/images/im288.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
293,train/images/im294.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
294,train/images/im295.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
295,train/images/im296.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
297,train/images/im298.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
300,train/images/im301.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
301,train/images/im302.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
302,train/images/im303.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
305,train/images/im306.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
306,train/images/im307.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
307,train/images/im308.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
308,train/images/im309.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
309,train/images/im310.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['sea']
310,train/images/im311.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
311,train/images/im312.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"['people', 'sea']"
312,train/images/im313.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
314,train/images/im315.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
315,train/images/im316.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
316,train/images/im317.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
320,train/images/im321.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
321,train/images/im322.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
322,train/images/im323.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
325,train/images/im326.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
326,train/images/im327.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
328,train/images/im329.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
329,train/images/im330.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
331,train/images/im332.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
332,train/images/im333.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
333,train/images/im334.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
335,train/images/im336.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
336,train/images/im337.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
337,train/images/im338.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
338,train/images/im339.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
341,train/images/im342.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
342,train/images/im343.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
344,train/images/im345.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
345,train/images/im346.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
346,train/images/im347.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['river']
352,train/images/im353.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
353,train/images/im354.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
355,train/images/im356.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
358,train/images/im359.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"['male', 'night', 'people']"
359,train/images/im360.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
360,train/images/im361.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
361,train/images/im362.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
362,train/images/im363.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
364,train/images/im365.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
366,train/images/im367.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
367,train/images/im368.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
371,train/images/im372.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
372,train/images/im373.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
373,train/images/im374.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
374,train/images/im375.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
377,train/images/im378.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
378,train/images/im379.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
382,train/images/im383.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
384,train/images/im385.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['clouds', 'flower']"
385,train/images/im386.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
386,train/images/im387.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
388,train/images/im389.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
389,train/images/im390.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
390,train/images/im391.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"['night', 'tree']"
391,train/images/im392.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['female']
393,train/images/im394.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
394,train/images/im395.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
395,train/images/im396.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
396,train/images/im397.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
397,train/images/im398.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
398,train/images/im399.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
399,train/images/im400.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
400,train/images/im401.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
401,train/images/im402.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
402,train/images/im403.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
403,train/images/im404.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
404,train/images/im405.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['clouds', 'sea']"
406,train/images/im407.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
408,train/images/im409.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
409,train/images/im410.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
412,train/images/im413.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
414,train/images/im415.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
415,train/images/im416.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
416,train/images/im417.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
419,train/images/im420.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['female']
420,train/images/im421.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
421,train/images/im422.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
422,train/images/im423.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
423,train/images/im424.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
425,train/images/im426.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
426,train/images/im427.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
428,train/images/im429.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
431,train/images/im432.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
432,train/images/im433.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
433,train/images/im434.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
434,train/images/im435.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
435,train/images/im436.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
442,train/images/im443.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
445,train/images/im446.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
449,train/images/im450.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
450,train/images/im451.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
452,train/images/im453.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
453,train/images/im454.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
456,train/images/im457.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
458,train/images/im459.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
460,train/images/im461.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
461,train/images/im462.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
463,train/images/im464.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
464,train/images/im465.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"['male', 'night', 'people']"
465,train/images/im466.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
467,train/images/im468.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"['bird', 'male', 'people']"
471,train/images/im472.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
472,train/images/im473.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
473,train/images/im474.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
475,train/images/im476.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
477,train/images/im478.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
479,train/images/im480.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
482,train/images/im483.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
